Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,29.899999618530273,31.5,29.899999618530273,30.0,25.586240768432617,400
2002-08-13,24.649999618530273,30.0,24.649999618530273,29.100000381469727,24.818653106689453,100
2002-08-14,31.0,31.950000762939453,31.0,31.149999618530273,26.567049026489258,700
2002-08-15,31.149999618530273,31.149999618530273,31.149999618530273,31.149999618530273,26.567049026489258,0
2002-08-16,30.0,31.0,29.149999618530273,29.350000381469727,25.03187370300293,900
2002-08-19,28.350000381469727,29.0,28.25,28.549999237060547,24.349571228027344,2200
2002-08-20,28.75,29.0,28.5,28.5,24.30693244934082,500
2002-08-21,28.5,30.100000381469727,28.5,29.049999237060547,24.776010513305664,4300
2002-08-22,28.600000381469727,30.0,28.549999237060547,30.0,25.586240768432617,1500
2002-08-23,28.600000381469727,28.600000381469727,28.600000381469727,28.600000381469727,24.392215728759766,200
2002-08-26,29.0,30.0,28.75,28.75,24.5201473236084,100
2002-08-27,28.899999618530273,29.700000762939453,28.75,29.700000762939453,25.33037757873535,3600
2002-08-28,27.600000381469727,28.75,27.549999237060547,28.75,24.5201473236084,400
2002-08-29,28.5,28.5,28.5,28.5,24.30693244934082,300
2002-08-30,28.5,28.5,28.5,28.5,24.30693244934082,0
2002-09-02,29.25,29.25,29.149999618530273,29.149999618530273,24.86130142211914,100
2002-09-03,29.149999618530273,29.149999618530273,29.149999618530273,29.149999618530273,24.86130142211914,0
2002-09-04,29.149999618530273,29.149999618530273,29.149999618530273,29.149999618530273,24.86130142211914,0
2002-09-05,29.0,29.899999618530273,29.0,29.899999618530273,25.500957489013672,400
2002-09-06,29.899999618530273,29.899999618530273,29.0,29.0,24.733369827270508,700
2002-09-09,29.0,29.600000381469727,27.25,27.649999618530273,23.581985473632812,1000
2002-09-10,27.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,23.581985473632812,0
2002-09-11,29.0,29.0,29.0,29.0,24.733369827270508,500
2002-09-12,28.049999237060547,29.950000762939453,28.0,29.600000381469727,25.24509620666504,1000
2002-09-13,29.5,30.0,29.5,30.0,25.586240768432617,500
2002-09-16,29.850000381469727,30.5,29.850000381469727,30.5,26.012680053710938,1100
2002-09-17,30.5,30.5,30.5,30.5,26.012680053710938,0
2002-09-18,29.899999618530273,29.899999618530273,29.5,29.5,25.159805297851562,600
2002-09-19,27.649999618530273,27.700000762939453,27.600000381469727,27.700000762939453,23.6246337890625,1000
2002-09-20,27.049999237060547,30.0,27.049999237060547,29.799999237060547,25.415668487548828,2700
2002-09-23,29.0,30.0,29.0,30.0,25.586240768432617,1700
2002-09-24,29.0,30.0,29.0,29.899999618530273,25.500957489013672,2300
2002-09-25,29.799999237060547,30.0,28.600000381469727,28.600000381469727,24.392215728759766,2200
2002-09-26,26.200000762939453,26.200000762939453,26.200000762939453,26.200000762939453,22.345321655273438,100
2002-09-27,30.0,30.0,29.950000762939453,30.0,25.586240768432617,3000
2002-09-30,29.049999237060547,29.5,29.049999237060547,29.5,25.159805297851562,500
2002-10-01,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-02,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-03,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-04,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-07,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-08,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-09,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-10,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-11,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-14,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-15,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-16,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-17,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-18,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-21,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-22,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-23,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-24,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-25,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-28,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-29,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-30,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-10-31,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-01,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-04,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-05,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-06,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-07,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-08,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-11,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-12,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-13,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-14,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-15,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-18,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-19,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-20,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-21,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-22,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-25,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-26,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-27,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-28,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-11-29,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-02,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-03,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-04,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-05,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-06,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-09,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-10,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-11,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-12,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-13,29.5,29.5,29.5,29.5,25.159805297851562,0
2002-12-16,29.5,29.5,29.5,29.5,25.159805297851562,0
